heldout_recording,lat_thr,spd_thr,precision,recall,f1,tp,fp,fn,tn,n_test
01,0.8000000000000002,0.5,0.3877551020408163,0.7307692307692307,0.5066666666666667,19,30,7,50,106
02,0.8000000000000002,0.5,0.35,0.6363636363636364,0.45161290322580644,14,26,8,39,87
03,0.8000000000000002,1.25,0.32432432432432434,0.6666666666666666,0.4363636363636364,12,25,6,42,85
04,0.8000000000000002,1.5,0.5714285714285714,0.851063829787234,0.6837606837606837,40,30,7,87,164
05,0.8500000000000002,1.0,0.3114754098360656,0.5588235294117647,0.4,19,42,15,96,172
