heldout_recording,threshold,precision,recall,f1,tp,fp,fn,tn,n_test
1,0.42999999999999994,0.3225806451612903,0.7692307692307693,0.45454545454545453,20,42,6,30,98
2,0.4799999999999999,0.3333333333333333,0.5714285714285714,0.4210526315789474,12,24,9,33,78
3,0.38999999999999996,0.26785714285714285,0.8333333333333334,0.4054054054054054,15,41,3,17,76
4,0.48999999999999994,0.515625,0.7021276595744681,0.5945945945945946,33,31,14,68,146
5,0.4699999999999999,0.2876712328767123,0.6363636363636364,0.39622641509433965,21,52,12,66,151
