heldout_recording,threshold,precision,recall,fbeta,tp,fp,fn,tn,n_test
1,0.3499999999999999,0.5789473684210527,0.4230769230769231,0.5392156862745099,11,8,15,64,98
2,0.32999999999999996,0.2222222222222222,0.19047619047619047,0.21505376344086022,4,14,17,43,78
3,0.35999999999999993,0.375,0.3333333333333333,0.36585365853658536,6,10,12,48,76
4,0.30999999999999994,0.68,0.3617021276595745,0.5782312925170069,17,8,30,91,146
5,0.35999999999999993,0.32432432432432434,0.36363636363636365,0.33149171270718236,12,25,21,93,151
