heldout_recording,lat_thr,spd_thr,precision,recall,f1,tp,fp,fn,tn,n_test
1,0.8000000000000002,0.5,0.3877551020408163,0.7307692307692307,0.5066666666666667,19,30,7,42,98
2,0.8000000000000002,0.5,0.35,0.6666666666666666,0.4590163934426229,14,26,7,31,78
3,0.8000000000000002,1.25,0.32432432432432434,0.6666666666666666,0.4363636363636364,12,25,6,33,76
4,0.8000000000000002,3.0,0.5806451612903226,0.7659574468085106,0.6605504587155964,36,26,11,73,146
5,0.8500000000000002,1.0,0.3114754098360656,0.5757575757575758,0.4042553191489362,19,42,14,76,151
